step_number,step_description,unit,component_item_code,blend_item_code
11,Add Coladet DEF 15,lbs,030008CN,602000
12,Agitate for 20 minutes then add:,,,602000
13,Add Busan 1264,lbs,030146,602000
12,Add Blueberry W/S,lbs,030175,602000
14,Agitate for 15 minutes.,,,602000
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,602000
16,Ensure that any agitators used have been turned off.,,,602000
17,Remove GHS hazard label from vessel and add LOT#'s to finished totes,,,602000
1,Gather the required materials.,,,602001
2,Verify that the vessel is clean. ,,,602001
3,Obtain GHS hazard label and apply to mix vessel. ,,,602001
4,Charge vessel with water.,gal,WATER,602001
5,Start agitator.,,,602001
6,Add Busan 1264,lbs,030146,602001
7,Add Accusol 820,lbs,030000,602001
8,Add Sodium Metsilicate,lbs,240073,602001
9,Agitate until ingredients are mixed.,,,602001
10,Add 91-8,lbs,031013,602001
11,Add IPA 99%,lbs,030018,602001
12,Add Ordernone,lbs,030198,602001
13,Add Blueberry W/S,lbs,030175,602001
14,Add DYE Turquoise Green 8GL,grams,030009,602001
15,Agitate for 15 minutes.,,,602001
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,602001
17,Ensure that any agitators used have been turned off.,,,602001
18,Remove GHS hazard label from mix vessel.,,,602001
1,Gather the required materials.,,,602002
2,Verify that the vessel is clean. ,,,602002
3,Apply GHS label to the mix vessel.,,,602002
4,Charge vessel with water.,,WATER,602002
5,Start agitator.,,,602002
6,Add Dissolvine E-39,,030019,602002
7,Add Sodium Citrate,,100466,602002
8,Add Glycol Ether DPM,,030011,602002
9,Add Glycol Ether DB,,031031,602002
10,Add NP-9,,100468,602002
11,Add Sodium Dodecylbenzene Sulfonate (DDBSA),,030010,602002
12,Add Busan 1264,,030146,602002
13,Add Super Green Fragrance,,100467,602002
14,Add Keyacid Napthol Green B-1,,030016,602002
15,Add Chromatint 0218 Alizarine Green,,240011,602002
16,Agitate for 5 minutes.,,,602002
17,Sample blend; label sample container; and deliver sample to QC Lab.,,,602002
18,Ensure that any agitators used have been turned off.,,,602002
19,Remove GHS label from the mix vessel.,,,602002
1,Gather the required materials.,,,602003
2,Verify that the vessel is clean. ,,,602003
3,Charge vessel with water.,gal,WATER,602003
4,Start agitator.,,,602003
5,Add Oxalic Acid,lbs,030025,602003
6,Add Glycol Ether EB,lbs,030012,602003
7,Add 91-8,lbs,031013,602003
8,Agitate for 20 minutes.,,,602003
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,602003
10,Ensure that any agitators used have been turned off.,,,602003
11,"Remove GHS hazard label from vessel, add lot number to tote",,,602003
1,Gather the required materials.,,,602005
2,Verify that the vessel is empty.,,,602005
3,Apply GHS label to the mix vessel.,,,602005
4,Charge vessel with LPA / Mineral Spirits.,GAL,030033,602005
5,Start agitator.,,,602005
6,Add Advapel 851,lbs,030119,602005
7,Add APS-232 OMS,lbs,030120,602005
8,Agitate for 10 minutes,,,602005
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,602005
10,Ensure that any agitators used have been turned off.,,,602005
11,Remove GHS label from the mix vessel.,,,602005
1,Gather the required materials.,,,602009
2,Verify that the vessel is clean. ,,,602009
3,Apply GHS label to the mix vessel.,,,602009
4,Charge vessel with water.,,WATER,602009
5,Start agitator.,,,602009
6,Add Accusol 820,,030000,602009
7,Agitate for 5 minutes.,,,602009
8,Add SODIUM HYPOCHLORITE,,030024,602009
9,Using red wire locks; re-seal sodium hypochlorite tote.,,,602009
10,Add SODIUM HYDROXIDE,,050007,602009
11,Agitate for 5 minutes.,,,602009
12,Add Tomadol 91-8,,031013,602009
13,Add T-Mulz 800,,030041,602009
14,Agitate for 20 minutes.,,,602009
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,602009
16,Ensure that any agitators used have been turned off.,,,602009
17,Remove GHS label from the mix vessel.,,,602009
1,Gather the required materials.,,,602010
2,Verify that the vessel is clean. ,,,602010
3,Apply GHS label to the mix vessel.,,,602010
4,Charge vessel with water.,gal,WATER,602010
5,Start agitator.,,,602010
6,Add DYE-L85000 Liquidtint Patent Blue ,grams,100461,602010
7,Add Lemon Fragrance ,lbs,030004,602010
8,Add Maquat MC1416 - 50%,lbs,030026,602010
9,Agitate for 30 minutes.,,,602010
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,602010
11,Ensure that any agitators used have been turned off.,,,602010
12,Remove GHS label from the mix vessel.,,,602010
1,Gather the required materials.,,,602011
2,Verify that the vessel is clean. ,,,602011
3,Apply GHS label to the mix vessel.,,,602011
4,Charge vessel with water.,gal,WATER,602011
5,Start agitator.,,,602011
6,Add Keyacid Napthol Green B-1,grams,030016,602011
7,Add Pine Fragrance P-1884,lbs,030036,602011
8,Add Maquat CS 465,lbs,030026,602011
9,Agitate for 20 minutes.,,,602011
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,602011
11,Ensure that any agitators used have been turned off.,,,602011
12,Remove GHS label from the mix vessel.,,,602011
1,Gather the required materials.,,,602014
2,Verify that the totes being used are clean. ,,,602014
3,Apply GHS hazard labels.,,,602014
4,Add methanol.,,500200,602014
5,Sample blend; label sample container; and deliver sample to QC Lab.,,,602014
6,Ensure that any agitators used have been turned off.,,,602014
1,Gather the required materials.,,,602016
2,Verify that the vessel is clean. ,,,602016
3,Apply GHS label to the mix vessel.,,,602016
4,Charge vessel with water.,,WATER,602016
5,Start agitator.,,,602016
6,Add Potassium Carbonate,,030138,602016
7,Agitate until ingredients are mixed.,,,602016
8,Add Dissolvine E-39,,030019,602016
9,Add D'Limonene,,030038,602016
10,Add Vitech Eqi,,100518,602016
11,Add Vitech BW,,100522,602016
12,Add SXS 40,,030013,602016
13,Add Ordonone W/S,,030198,602016
14,Add APS-342,,031036,602016
15,Add Eversorb AQ1,,030110,602016
16,Agitate for 20 minutes.,,,602016
17,Sample blend; label sample container; and deliver sample to QC Lab.,,,602016
18,Ensure that any agitators used have been turned off.,,,602016
19,Remove GHS label from the mix vessel.,,,602016
1,Gather the required materials.,,,602017FLUSH
2,Verify that the vessel is clean. ,,,602017FLUSH
3,Apply GHS label to the mix vessel.,,,602017FLUSH
4,Charge vessel with water.,gal,WATER,602017FLUSH
5,Start agitator.,,,602017FLUSH
6,Add Versene 100,lbs,030019,602017FLUSH
7,Add Tomadol 91-8,lbs,031013,602017FLUSH
8,Add Glycol Ether DPM,lbs,030011,602017FLUSH
10,Add IPA,lbs,030018,602017FLUSH
11,Add Coladet 190,lbs,030113,602017FLUSH
12,Agitate for 10 minutes.,,,602017FLUSH
13,Add Keyacid Napthol Green,grams,030016,602017FLUSH
14,Agitate for 10 minutes.,,,602017FLUSH
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,602017FLUSH
16,Ensure that any agitators used have been turned off.,,,602017FLUSH
17,Remove GHS label from the mix vessel.,,,602017FLUSH
18,Remove GHS label from the mix vessel.,,,602017FLUSH
1,Gather the required materials.,,,602017
2,Verify that the vessel is clean. ,,,602017
3,Apply GHS label to the mix vessel.,,,602017
4,Charge vessel with water.,gal,WATER,602017
5,Start agitator.,,,602017
6,Add Versene 100,lbs,030019,602017
7,Add Tomadol 91-8,lbs,031013,602017
8,Add Glycol Ether DPM,lbs,030011,602017
9,Add APS-342,lbs,031036,602017
10,Add IPA,lbs,030018,602017
11,Add Coladet 190,lbs,030113,602017
12,Agitate for 10 minutes.,,,602017
13,Add Lemon Fragrance ,lbs,030004,602017
14,Add Keyacid Napthol Green,grams,030016,602017
15,Agitate for 10 minutes.,,,602017
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,602017
17,Ensure that any agitators used have been turned off.,,,602017
18,Remove GHS label from the mix vessel.,,,602017
1,Gather the required materials.,,,602020
2,Verify that the poly/plastic vessel is clean. ,,,602020
3,Charge main mix vessel with hydrochloric acid.,lbs,030050,602020
4,Using blue wire locks; re-seal hydrochloric acid tote.,,,602020
5,Retrieve another vessel to pre-mix the remaining ingredients. ,,,602020
6,Add water to pre-mix vessel.,lbs,WATER,602020
7,Add oxalic acid to pre-mix vessel.,lbs,030025,602020
8,Add  91-8 to pre-mix vessel.,lbs,031013,602020
9,Add IPA to pre-mix vessel.,lbs,030018,602020
10,Add Savonna Fragrance to pre-mix vessel.,grams,030048,602020
11,Agitate pre-mix vessel for 60 minutes.,,,602020
12,Start agitator in main mix vessel. ,,,602020
13,Add pre-mix to the main mixing vessel. ,,,602020
14,Agitate main mix vessel for 60 minutes.,,,602020
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,602020
16,Ensure that any agitators used have been turned off.,,,602020
17,VW 7-19-23 Switched from TAM-DET to 91-8 for EU regs,,,602020
1,Gather the required materials.,,,602021
2,Verify that the vessel is clean. ,,,602021
3,Apply GHS label to the mix vessel.,,,602021
4,Charge vessel with water.,gal,WATER,602021
5,Start agitator.,,,602021
6,Add Chromatint 0408 Blue,grams,030112,602021
7,Add Busan 1264,lbs,030146,602021
8,Add APW286,lbs,030002,602021
9,Add IPA,lbs,030018,602021
10,Add Flexiwet NF,grams,030079,602021
11,Add Blueberry W/S Fragrance,lbs,030175,602021
12,Add APS-342,grams,031036,602021
13,Agitate for 20 minutes.,,,602021
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,602021
15,Ensure that any agitators used have been turned off.,,,602021
16,Remove GHS label from the mix vessel.,,,602021
1,Gather the required materials.,,,602022
2,Apply GHS label to the mix vessel.,,,602022
3,Verify that the vessel is clean. ,,,602022
4,Charge vessel with water.,gal,WATER,602022
5,Start agitator.,,,602022
6,IPA,lbs,030018,602022
7,Ethoxylated Amine E-T-15,lbs,030046,602022
8,Phosphoric Acid 75% Tech Grade,lbs,240079,602022
9,Using black wire locks; re-seal phosphoric acid tote.,,,602022
10,Agitate for 10 minutes.,,,602022
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,602022
12,Ensure that any agitators used have been turned off.,,,602022
13,Remove GHS label from the mix vessel.,,,602022
1,Gather the required materials.,,,602023
2,Verify that the vessel is clean. ,,,602023
3,Apply GHS label to the mix vessel.,,,602023
4,Charge vessel with water.,gal,WATER,602023
5,Start agitator.,,,602023
6,Add Preventol D7,lbs,030146P,602023
7,Add Fibrosil -EM60-HG ,lbs,030164,602023
8,Add Cherry Fragrance,lbs,031043,602023
9,Add Eversorb AQ1,grams,030110,602023
10,Agitate for 20 minutes.,,,602023
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,602023
12,Ensure that any agitators used have been turned off.,,,602023
13,Remove GHS label from the mix vessel.,,,602023
1,Gather the required materials.,,,602024
2,Verify that the vessel is clean. ,,,602024
3,Apply GHS label to the mix vessel.,,,602024
4,Charge vessel with IPA - Make sure tote cage is grounded properly,lbs,030018,602024
5,Add Xiameter PMX 200 Fluid 50cst.,lbs,030056,602024
6,Agitate for 5 minutes.,,,602024
7,Add Sulfuric Acid,lbs,030015,602024
8,Using green wire locks; re-seal sulfuric acid tote.,,,602024
9,Agitate for 20 minutes.,,,602024
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,602024
11,Ensure that any agitators used have been turned off.,,,602024
12,Remove GHS label from the mix vessel.,,,602024
1,Gather the required materials.,,,602029
2,Verify that the vessel is clean. ,,,602029
3,Apply GHS label to the mix vessel.,,,602029
4,Charge vessel with LPA / Mineral Spirits.,GAL,030033,602029
5,Add CA1082 Mix for 10 min.,lbs,030093,602029
6,Add the Motiva Star 4,lbs,100427,602029
7,Agitate until ingredients are mixed.,,,602029
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,602029
9,Ensure that any agitators used have been turned off.,,,602029
10,Remove GHS label from the mix vessel.,,,602029
1,Gather the required materials.,,,602030
2,Retrieve a dedicated or brand new tote for this blend. ,,,602030
3,Apply GHS label to the tote.,,,602030
4,Charge tote with Barnacle Remover blend.,,602020,602030
5,Add Fast Green 5050,,030028,602030
6,Agitate until ingredients are mixed.,,,602030
7,Sample blend; label sample container; and deliver sample to QC Lab.,,,602030
8,Ensure that any agitators used have been turned off.,,,602030
1,Gather the required materials.,,,602032CARB
2,Verify that the mixing vessel is empty.,,,602032CARB
3,Set aside 55 gallons of Calumet to flush with. ,,100507TANKO,602032CARB
4,Charge vessel with Calumet 400-500 vessel O,,100507TANKO,602032CARB
5,Add Sasaol LPA 170 (vessel B),,100507TANKB,602032CARB
6,Start agitator.,,,602032CARB
7,Select Synray speed on the pump,,,602032CARB
8,Add Synray 1182,,030195,602032CARB
9,Select Tung Oil speed on the pump,,,602032CARB
10,Add Polymerized Tung Oil,,030150,602032CARB
11,Add Automate Brown 2HF,,030063,602032CARB
12,Flush pump; adding the remaining 55gal of Calumet to the blend.,,100507TANKO,602032CARB
13,Sample blend; label sample container; and deliver sample to QC Lab.,,,602032CARB
14,Ensure that any agitators used have been turned off.,,,602032CARB
1,Gather the required materials.,,,602032SIKA
2,Verify that the mixing vessel is empty.,,,602032SIKA
3,Set aside 55 gallons of Calumet to flush with. ,,100507TANKO,602032SIKA
4,Charge vessel with Calumet 400-500 vessel O,,100507TANKO,602032SIKA
5,Add Conosol 260,,031026,602032SIKA
6,Start agitator.,,,602032SIKA
7,Select Synray speed on the pump,,,602032SIKA
8,Add Synray 1182,,030195,602032SIKA
9,Select Tung Oil speed on the pump,,,602032SIKA
10,Add Polymerized Tung Oil,,030150,602032SIKA
11,Flush pump; adding the remaining 55gal of Calumet to the blend.,,100507TANKO,602032SIKA
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,602032SIKA
13,Ensure that any agitators used have been turned off.,,,602032SIKA
1,Gather the required materials.,,,602033KPK
2,Verify that the vessel is clean. ,,,602033KPK
3,Apply GHS label to the mix vessel.,,,602033KPK
4,Charge vessel with Calumet 400-500 vessel O,lbs,100507TANKO,602033KPK
5,Start agitator. ,,,602033KPK
6,Add Afton 6455,lbs,100547,602033KPK
7,Add Ethanox 4737R,lbs,100548,602033KPK
8,Agitate for 30 minutes.,,,602033KPK
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,602033KPK
10,Ensure that any agitators used have been turned off.,,,602033KPK
11,Remove GHS label from the mix vessel.,,,602033KPK
1,Gather the required materials.,,,602035
2,Verify that the vessel is clean. ,,,602035
3,Apply GHS label to the mix vessel.,,,602035
4,Charge vessel with water.,,WATER,602035
5,Start agitator.,,,602035
6,Add Tomadol 91-8,,031013,602035
7,Agitate for 5 minutes.,,,602035
8,Add Propylene Glycol DPM,,030011,602035
9,Add Propylene Glycol PnB,,030031,602035
10,Agitate for 5 minutes.,,,602035
11,Add Fatty Tall Oil,,030032,602035
12,Add Mineral Spirits,,030057,602035
13,Add Monoethanolamine,,030035,602035
14,Add d-Limonene,,030038,602035
15,Agitate for 10 minutes.,,,602035
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,602035
17,Ensure that any agitators used have been turned off.,,,602035
18,Remove GHS label from the mix vessel.,,,602035
1,Gather the required materials.,,,602037EUR
2,Verify that the vessel is clean and empty. ,,,602037EUR
3,Charge vessel with DI water: DO NOT USE DI TANK. DIRECT FEED ONLY.,gal,030143,602037EUR
4,Sample DI Water and bring to lab for conductivity testing. ,,,602037EUR
5,Verify that DI Water passes conductivity testing. (Must be under 5uS),,,602037EUR
6,Ensure that the DI water pump is turned off.,,,602037EUR
7,Add E-39 Dissolvine.,lbs,030019,602037EUR
8,Recirculate with pumps to mix for 10 minutes. ,,,602037EUR
9,Add Sodium Hydroxide 50%,lbs,050007,602037EUR
10,Recirculate with pumps to mix for 10 minutes. ,,,602037EUR
11,"Take sample in LAB for pH before continuing, pH must be over 12",,,602037EUR
12,Add Sodium Hypochlorite 12.5%,lbs,030024,602037EUR
13,Using red wire locks; re-seal sodium hypochlorite tote.,,,602037EUR
14,Add Lauamine Oxide,lbs,030021,602037EUR
16,Recirculate with pumps to mix for 45 minutes. ,,,602037EUR
17,Run approx. 5 gallons out; sample blend; label sample container; and deliver sample to QC Lab.,,,602037EUR
18,Wash any totes that are being re-used with DI WATER,,,602037EUR
19,Update the status of each tote using the spraypainted dot system.,,,602037EUR
20,Lab must take pictures of all totes before emptying batch.,,,602037EUR
21,Upon approval from the lab; empty batch into totes with VENTED CAPS.,,,602037EUR
22,Ensure that the protective covering is placed over the white flush drum.,,,602037EUR
23,"VW 8/29/22 lowered 0rchdia MSR fragrance from 0.25% to 0.1%, increased NaOH from 0.9% to 1.1%, lowered dissolvine E-39 from 0.5% to 0.1%",,,602037EUR
1,Gather the required materials.,,,602037
2,Verify that the vessel is clean and empty. ,,,602037
3,Charge vessel with DI water: DO NOT USE DI TANK. DIRECT FEED ONLY.,gal,030143,602037
4,Sample DI Water and bring to lab for conductivity testing. ,,,602037
5,Verify that DI Water passes conductivity testing. (Must be under 5uS),,,602037
6,Ensure that the DI water pump is turned off.,,,602037
7,Add E-39 Dissolvine.,lbs,030019,602037
8,Recirculate with pumps to mix for 10 minutes. ,,,602037
9,Add Sodium Hydroxide 50%,lbs,050007,602037
10,Recirculate with pumps to mix for 10 minutes. ,,,602037
11,"Take sample in LAB for pH before continuing, pH must be over 12",,,602037
12,Add Sodium Hypochlorite 12.5%,lbs,030024,602037
13,Using red wire locks; re-seal sodium hypochlorite tote.,,,602037
14,Add Calfax DB-45,lbs,030197,602037
15,Add Orchidia Mildew Stain Fragrance,lbs,030197,602037
16,Recirculate with pumps to mix for 45 minutes. ,,,602037
17,Run approx. 5 gallons out; sample blend; label sample container; and deliver sample to QC Lab.,,,602037
18,Wash any totes that are being re-used with DI WATER,,,602037
19,Update the status of each tote using the spraypainted dot system.,,,602037
20,Lab must take pictures of all totes before emptying batch.,,,602037
21,Upon approval from the lab; empty batch into totes with VENTED CAPS.,,,602037
22,Ensure that the protective covering is placed over the white flush drum.,,,602037
23,"VW 8/29/22 lowered 0rchdia MSR fragrance from 0.25% to 0.1%, increased NaOH from 0.9% to 1.1%, lowered dissolvine E-39 from 0.5% to 0.1%",,,602037
1,Gather the required materials.,,,602038
2,Verify that the vessel is clean. ,,,602038
3,Apply GHS label to the mix vessel.,,,602038
4,Charge vessel with water.,,WATER,602038
5,Start agitator.,,,602038
6,Add Accusol 820,,030000,602038
7,Agitate for 10 minutes,,,602038
8,Add Sodium Metasilicate slowly.,,240073,602038
9,Agitate until ingredients are mixed.,,,602038
10,Add the Glycol Ether DPM,,030011,602038
11,Add the IPA,,030018,602038
12,Add the Tomadol 91-8,,031013,602038
13,Add the COLADET 190,,030113,602038
14,Agitate for 10 minutes,,,602038
15,Add Coconut Fragrance,,030003,602038
16,Agitate for 5 minutes.,,,602038
17,Sample blend; label sample container; and deliver sample to QC Lab.,,,602038
18,Ensure that any agitators used have been turned off.,,,602038
19,Remove GHS label from the mix vessel.,,,602038
1,Gather the required materials.,,,602039
2,Verify that the vessel is clean. ,,,602039
3,Apply GHS label to the mix vessel.,,,602039
4,Charge vessel with water.,,WATER,602039
5,Start agitator.,,,602039
6,Add AMMONIUM CHLORIDE,,030007,602039
7,Agitate for 30 minutes.,,,602039
8,Add Coladet DEF,,030008CN,602039
9,Agitate until ingredients are mixed.,,,602039
10,Add DYE-Chromatint Green 1102.,,100438,602039
11,Agitate until ingredients are mixed.,,,602039
12,Add Bluberry W/S Frgrance,,030175,602039
13,Add Busan 1264,,030146,602039
14,Agitate until ingredients are mixed.,,,602039
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,602039
16,Ensure that any agitators used have been turned off.,,,602039
17,Apply GHS label to the mix vessel.,,,602039
1,Gather the required materials.,,,602042
2,Verify that the vessel is clean. ,,,602042
3,Apply GHS label to the mix vessel.,,,602042
4,Charge vessel with water.,gal,WATER,602042
5,Start agitator.,,,602042
6,Add DYE-TURQUOISE GREEN 8GL,gram,,602042
7,Add Maquat CS 465,lbs,,602042
8,Add Lemon Fragrance ,lbs,,602042
9,Agitate for 20 minutes.,,,602042
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,602042
11,Ensure that any agitators used have been turned off.,,,602042
12,Remove GHS label from the mix vessel.,,,602042
1,Gather the required materials.,,,602043PURPLE
2,Verify that the vessel is clean. ,,,602043PURPLE
3,Apply GHS label to the mix vessel.,,,602043PURPLE
4,Charge vessel with water.,,WATER,602043PURPLE
5,Start agitator.,,,602043PURPLE
6,Add GL 47S,,031035,602043PURPLE
7,Mix for 15 minutes,,,602043PURPLE
8,Then add Ammonium Chloride,,030007,602043PURPLE
9,Agitate for 20 minutes.,,,602043PURPLE
10,Add DEF 15 ,,030008CN,602043PURPLE
11,Add 703 Lambent ,,030111,602043PURPLE
12,Add APS-342,,031036,602043PURPLE
13,Add Liquidtint VIOLET DYE 0974 ,,050012,602043PURPLE
14,Add Fragrance Blueberry #1014-0092,,031044,602043PURPLE
15,Add Busan 1264,,030146,602043PURPLE
16,Agitate for 15 minutes.,,,602043PURPLE
17,Sample blend; label sample container; and deliver sample to QC Lab.,,,602043PURPLE
18,Ensure that any agitators used have been turned off.,,,602043PURPLE
19,Remove GHS label from the mix vessel.,,,602043PURPLE
1,Gather the required materials.,,,602045
2,Verify that the vessel is clean. ,,,602045
3,Apply GHS label to the mix vessel.,,,602045
4,Charge vessel with water.,gal,WATER,602045
5,Start agitator.,,,602045
6,Add TKPP,lbs,030039,602045
7,Agitate until ingredients are mixed.,,,602045
8,Add BioTerge AS-40 HA,lbs,030152,602045
9,Add Tomadol 91-8,lbs,031013,602045
10,Add Mineral Spirits,lbs,030033,602045
11,Add SXS,lbs,030013,602045
12,Add Glycol Ether DB,lbs,031031,602045
13,Add Odernone #69880,lbs,030198,602045
14,Add Coconut W/S #,lbs,030003,602045
15,Agitate until ingredients are mixed.,,,602045
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,602045
17,Ensure that any agitators used have been turned off.,,,602045
18,Remove GHS label from the mix vessel.,,,602045
1,Gather the required materials.,,,602046
2,Verify that the vessel is clean. ,,,602046
3,Apply GHS label to the mix vessel.,,,602046
4,Charge vessel with water.,gal,WATER,602046
5,Start agitator.,,,602046
6,Add GL 47S,lbs,031035,602046
7,Agitate for 15 minutes.,,,602046
8,Add Ammonium Chloride,lbs,030007,602046
9,Agitate for 20 minutes.,,,602046
10,Add Chromatint 1887 ,grams,050017,602046
11,Add Coladet DEF 15,lbs,030008CN,602046
12,Agitate for 30 minutes.,,,602046
13,Add Busan 1264 ,lbs,030146,602046
14,Add Bubble Gum Fragrance,lbs,031022,602046
15,Agitate for 15 minutes.,,,602046
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,602046
17,Ensure that any agitators used have been turned off.,,,602046
18,Remove GHS label from the mix vessel.,,,602046
1,Gather the required materials.,,,602047
2,Verify that the vessel is clean. ,,,602047
3,Apply GHS label to the mix vessel.,,,602047
4,Charge vessel with water.,gal,WATER,602047
5,Start agitator.,,,602047
6,Add Busan 1264,lbs,030146,602047
7,Add Potassium Carbonate,lbs,030138,602047
8,Add Isopropyl Alcohol,lbs,030018,602047
9,Add 91-8,lbs,031013,602047
10,Add Dissolvine GL-47,lbs,031035,602047
11,Add Chromatech Liquidtint Pink L830454,grams,050020,602047
13,Agitate for 15 minutes.,,,602047
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,602047
15,Ensure that any agitators used have been turned off.,,,602047
16,Remove GHS label from the mix vessel.,,,602047
1,Gather the required materials.,,,602050
2,Verify that the vessel is clean. ,,,602050
3,Apply GHS label to the mix vessel.,,,602050
4,Charge vessel with Motiva Star 12,lbs,100421G2,602050
5,Start agitator. ,,,602050
6,Add C9330,lbs,100429,602050
7,Add ELCO 102,lbs,100412,602050
8,Agitate for 30 minutes,,,602050
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,602050
10,Ensure that any agitators used have been turned off.,,,602050
11,Remove GHS label from the mix vessel.,,,602050
1,Gather the required materials.,,,602058
2,Verify that the final mix vessel and the kelzan mix vessel are both clean. ,,,602058
3,Apply GHS label to the final mix vessel.,,,602058
4,Pour 200 gallons of DI water into the Kelzan mix vessel.,,030143,602058
5,Ensure that the DI water pump is turned off.,,,602058
6,Start Kelzan agitator. ,,,602058
7,Add Kelzan AXST.,,030171,602058
8,Agitate Kelzan for 20 minutes.,,,602058
9,Verify that all powder is dissolved and product is clump free.,,,602058
10,Charge the main mix vessel with DI Water.,,030143,602058
11,Add sodium benzoate,,030154,602058
12,Add dissolved Kelzan ASXT.,,,602058
13,Agitate until ingredients are mixed.,,,602058
14,Add Novac ACL.,,031027,602058
15,Agitate for 15 minutes.,,,602058
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,602058
17,Ensure that any agitators used have been turned off.,,,602058
18,Remove GHS label from the mix vessel.,,,602058
1,Gather the required materials.,,,602059
2,Verify that the vessel is clean. ,,,602059
3,Apply GHS label to the mix vessel.,,,602059
4,Charge vessel with Canola Oil,lbs,030172,602059
4,Start agitator. ,,,602059
5,Add the Na-Lube BL-1208 ,lbs,030173,602059
6,Add Viscoplex 10-310 ,lbs,030174,602059
7,Agitate for 15 minutes.,,,602059
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,602059
10,Ensure that any agitators used have been turned off.,,,602059
11,Remove GHS label from the mix vessel.,,,602059
1,Gather the required materials.,,,602060
2,Verify that the vessel is clean. ,,,602060
3,Apply GHS label to the mix vessel.,,,602060
4,Charge vessel with Canola Oil,lbs,030172,602060
5,Start agitator. ,,,602060
6,Add Lubricit DIA-DF/Esterex A-32,lbs,100432,602060
7,Add Na-Lube BL-1208,lbs,030173,602060
8,Add Viscoplex 10-310,lbs,030174,602060
9,Agitate for 10 minutes.,,,602060
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,602060
11,Ensure that any agitators used have been turned off.,,,602060
12,Remove GHS label from the mix vessel.,,,602060
1,Gather the required materials.,,,602063
2,Verify that the vessel is clean. ,,,602063
3,Apply GHS label to the mix vessel.,,,602063
4,Charge vessel with water.,,WATER,602063
5,Start agitator.,,,602063
6,Add Versene 100,,030019,602063
7,Add Tomadol 91-8,,031013,602063
8,Add SXS,,030013,602063
9,Add IPA,,030018,602063
10,Add DDBSA,,030010,602063
11,Agitate for 10 minutes.,,,602063
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,602063
13,Ensure that any agitators used have been turned off.,,,602063
14,Remove GHS label from the mix vessel.,,,602063
1,Gather the required materials.,,,602066
2,Verify that the vessel is clean. ,,,602066
3,Apply GHS label to the mix vessel.,,,602066
4,Charge vessel with water.,,WATER,602066
5,Start agitator.,,,602066
6,Add Versene 100,,030019,602066
7,Add Glycol Ether EB,,030012,602066
8,Add Acetic Acid,,030161,602066
9,Add IPA,,030018,602066
10,Retrieve appropriate respirator for handling Ammonia 26% (GUIDE NO. 154; ID NO. 2672),,,602066
11,Add Ammonia 26%,,030178,602066
12,Add Crodasinic LS-30,,030179,602066
13,Add Crodaquat  1207,,030180,602066
14,Add Lemon Fragrance W/S,,030004,602066
15,Add Busan 1264,,030146,602066
16,Add Chromatint 0408,,030112,602066
17,Agitate for 5 minutes. ,,,602066
18,Sample blend; label sample container; and deliver sample to QC Lab.,,,602066
19,Ensure that any agitators used have been turned off.,,,602066
20,Remove GHS label from the mix vessel.,,,602066
1,Gather the required materials.,,,602067
2,Verify that the vessel is clean. ,,,602067
3,Apply GHS label to the mix vessel.,,,602067
4,Charge vessel with water.,,WATER,602067
5,Start agitator.,,,602067
6,Add Evogen Multi-Purpose 10XF,,030106,602067
7,Add Accusol 820,,030000,602067
8,Add SLS-30,,030085,602067
9,Add Versene 100,,030019,602067
10,Add Chromatint 0408,,030112,602067
11,Add Chromatint 1887,,050017,602067
12,Agitate until ingredients are mixed.,,,602067
13,Sample blend; label sample container; and deliver sample to QC Lab.,,,602067
14,Ensure that any agitators used have been turned off.,,,602067
15,Remove GHS label from the mix vessel.,,,602067
1,Find either a clean or a dedicated tote.,,,602068
2,Apply GHS and product identification labels.,,,602068
3,Add canola oil to the tote.,lbs,030172,602068
